artist,lyrics,song,album,releaseyear
T.I.,"She done put her reparations in a handbag,He done spent his reparations on his swag,,swag,A black nigga, put your fortunes in a,sandbag,Laugh at your misfortune then we put it in a,hashtag,Ain't no leaders only leisure, only reapers,,ain't no sowers,They get higher, we get lower, damn it's over,If racism ain't in color then it's damn sure in,the class,Got the races on each other, you got niggas,then there's blacks,You got crackers then there's whites,,separated by the green,After five hundred years, think we play for,the same team,Smokescreen, make the president the black,guy,It ain't no reason why you shouldn't have,success, right?,Forty acres and a Muller,I spent my reparations on the jeweler,I bought a timepiece, now ain't no lookin',back,Now ask them muthafuckas what the fuck,they lookin' at,Uh, forty acres and a mule, forty acres and,a mule,These niggas actin' fuckin' fools for forty,acres and a mule,Anybody interrupt freedom, kill 'em,Word to Robert F. Williams, feel 'em,Devil got me sick to my stomach, boo,Word to Elijah Muhammad, ooh,I don't give a damn what the preacher ever,tell y'all,Jesus, Muhammad, ain't comin', woo,I'm a tell y'all what the ancestors shoulda,done did when they seen the first boat,comin, yeah,Killed every man, child, woman, yeah,Killed every damn thing on it, yeah,Killed everything if it looked European, send,it back to the Queen like, ho,You ever step your foot in Kemet, bitch we,slit your throat,We send them funny fuck boy preacher,types back to the Pope,Fuck is you? Fuck your Zeus or fuck Medusa,This the school of Shaka Zulu,Fast forward to the future, choppa do you,We done dyin' and they cryin' and we,screamin' hallelujah,When them crackas ask why say we did it for,Lumumba, fucker,Forty acres and a Muller,I spent my reparations on the jeweler,I bought a timepiece, now ain't no lookin',back,Now ask them muthafuckas what the fuck,they lookin' at,Uh, forty acres and a mule, forty acres and,a mule,These niggas actin' fuckin' fools for forty,acres and a mule,Load up my clip off a Zimmerman,Filling my pocket with Benjamins,Who the fuck are you? I been a man,Them crackers see me ""oh not him again"",Take your ass out the trap middle finger to,Trump,Fuck the police, they crooked as they come,They pull you over and know you legit,Ask you for your license, when you reach,then they dump,Now the prison yard like the cotton field,House nigga's snitchin', that's what got 'em,killed,Nigga thought he made it cause he got a,deal,First album suppo' been outta here,Not quite dude, back to selling blow,On some 24s I'm a send it here, learn to,stay silent,Learn more on these streets then they did in,they college,I'm certified, don't murder guys,But my niggas still far from civilized,Kill for anything but civil rights be the,murder case,Cause a nigga like, they heard it from the,king, from the king,What you mean, bitch?,Trade my forty acres from my mule and my,necklace, yeah,Forty acres and a Muller,I spent my reparations on the jeweler,I bought a timepiece, now ain't no lookin',back,Now ask them muthafuckas what the fuck,they lookin' at,Uh, forty acres and a mule, forty acres and,a mule,These niggas actin' fuckin' fools for forty,acres and a mule",40 Acres,Us or Else: Letter to the System,2016
Quasimoto,"Yo, I be getting lit listening to Sun Ra,Early George Benson on down the Hampton Hall,Steve Cole, George Cables all up in the Rhodes,See the Walt and Herbie Hancock drop the heavy load,Gene Harris and the Three Sounds for soul jazz listeners,Bobby Hutcherson up late geared to the Jazz Messengers,Horace Silver, Bill Evans to Terry Gibbs on the vibe,Gary Burton and album archives,Like Donald Byrd George Duke and Lee Morgan,Shirley Scott, Groove Holmes and Jimmy Smith up on the organ,Gene Russell, the artist symbol of Chicago,Inivators like Michael White push out the Cal Tjader,Classic shit like Weather Report or Max Roach,Laid back like Freddie Hubbard trumpet notes,Cannonball Adderley, Eddie Harris, Mill Jackson,Like Ron Carter's bass lines will beat you like a backspin,Yeah, like a backspin,We got the jazz, my man,Yo, who's got skills like Rahsaan Roland Kirk,Or conduct like William Fisher, go to work with the swisher,Up and John Coltrane up in my headphones,Gary Bartz, Mister Rub produce Lovetones,Even Cool and the Gang got jazz for that ass,Modern Jazz Quartet always got the A class,Johnny Hammis met Carl Sanders,Paul Bley, Thelonious Monk, Norman Conners,Albert Ayler, John Coltrane, McCoy Tyner,Dizzy Gillespie is presented by Don Sebesky,I be cranking mad jack, got mad stacks of cool-out,You know we pull the smoke tool out,I give props to Bluenote and Black Jazz,Impulse, CTI records and Plusga,Verve to Milestone, Atlantic and Muse,There's plenty more that I could name but ya'll won't put them to use,Anyway, I love jazz my man,We got the jazz,We got the jazz,David Sanborn,Universe,Freedom throughout the universe,Freedom throughout the universe,Freedom throughout the universe,...",Jazz Cats Pt. 1,none,2000
Royce da 5'9'',"We holla at 'em like,[Verse 1],These niggas talkin' bout they walk talk and think bossy,I'm in the Trump Tower shower washin' ink off me,Two ugly bitches in my bed, moochin' drinks off me,My mini bar's empty, but that's just how I'm livin',I'm in the presidential suite with two freaks,,I call 'em my Kennedy Fried Chickens,""Awe yeah... I'm back... bitches"",But this is, kinda like my wilder style,Vicious, say when I'm sippin', I turn into Shallow Hal,I must have been high or somethin',Cause I could of swore that one of these bitches told,me to buy her somethin',I told her...,""I got a present for you right here"" (What?),""Actually it's not a present. It's my penis"",I'm feelin' plastered,So what they fat women, I feel like I have to bite,the Apple like the Mac emblem,One of the bitches like, ""Oh I love you so much.,I love Slaughterhouse, I love Joey, Joell, Crooked. All you guys"",Shut up,""I don't like it when you talk."" (What?),""Cause that just means you're not suckin' my cock."",Bitch I'm on everything, I don't know what you just had,I'm 'bout to slip and fall and head butt yo ass like Superbad,One of 'em start somethin' super fast,The other one I gave Arabian Goggles, they flier than alien model,For now,These bitches givin' me brains till I'm out of mines,That's when I had an epiphany like ""STOP!""...,Vagina time,[Chorus],""Vagina"" (What?),""Vagina"" (What?),""I wanna have sex with your vagina"" (Uhh),""Vagina"" (What?),""Vagina"" (What?),""E=MC Vagina"" (C'mon),We holla at 'em like,[Verse 2],I swear these little punks be wildin',Claimin' they only fuck bad bitches,Chopper stylin', I be swimmin' in trash bitches goin' dumpster divin',I met a bitch on the street, she said she want a nigga that's deep,I'm deep,I said...,""I'm the Indian Jones of explorin' crotch.,I'm the Shakespeare of enormous cock."",I told her I got an 'oh so flow mean',Rope-a-dope? Nope, I got a Poconos swing,Little bitch riddle me this (C'mon),""What's the difference between a girl's mouth and a girl's vagina? (What?),There is none. I want my penis to inside both of those things."",I know you gazin' at the words I text,I ain't a virgin', your wife ain't the first bird I pecked,She ain't per-fect, she per-plexed,She can't quite think,Your baby girl ain't right like birth defects,My religion is god body gynecology, I work with sex,Feelin' no pain like Percocets,Sellin' syrup and wet in church and sweat,You herb niggas got me twisted like cursive text,Nigga I cling to her,I'll give her hella smoke,I'll sing to her,I'll tell her hella jokes like:,""Why did my penis cross the road?"" (What?),""To get to the other vagina"",[Chorus],""Vagina"" (What?),""Vagina"" (What?),""I wanna have sex with your vagina"" (Uhh),""Vagina"" (What?),""Vagina"" (What?),""2 + 2 = Vagina"" (C'mon),We holla at 'em like,""My dick is like an airplane. It gives girls orgasms.,I'm the Wayne Gretzky of sexual stuff.,I'm the, Hulk Hogan of slammin' muff.,Love is for girls and gays. (What?),If you wanna be with me it goes one of two ways.,Either you have sex with me...,Or you have sex with me.,Girls love my sex.,I'm a good sex man.,Cause my sex is the best.,I'm like Jean Claude Van Damme.,But instead of fight people... I have sex with them.""",Vagina,Bar Exam 3: The Most Interesting Man,2010
Ghost,"Throw yourself,Into the vessel of possibilities,Your green muse,The apparatus for soul mobility,A gateway to secrecy,Spirit,Absinthe,Spirit,Absinthe,Seven seals,Devilish creatures trumpets the end of time,Cloven hooves,Anti saint wormwood catapulting your mind,Into the jaws of death,Spirit,Absinthe,Spirit,Absinthe,There's no return,From this excursion of possibilities,You're at the seventh gate,Spirit,Absinthe,Spirit,Absinthe,Let none of this earth inherit,This vision of my spirit",Spirit,Meliora,2015
Hoodie Allen,"Check it,Started at the bottom like I'm looking at her booty,Asking me for money, I'm a blow it like I'm Hootie,Buffalo, where you find me, throwing Bills like I'm Flutie,She a product of the nineties, I'm a show her like I'm Truman, ooh,'fore the night is over, she will beso me, muah,Got your girlfriend so obsessed with me, that Cecily Strong,Making all of these bangers for girls who look like Topanga,Who grew up in Staten Island, banging 36 Chambers,Ya listening to history in the making now,Trying to retire at thirty with a vacation house,That money funny like Jefferson on a twenty,Ivy League like I'm hangin' out with Beyoncé and Jeezy now,Swaggin', I can see you impressed,She on her knees and she ain't trying to confess,Save me the stress, ya girl already say I'm the best,She came to my show just to get my name on her chest,Call 9-1-1,Tell the operator she ain't lookin' for a player,We can have some fun,We could be together from now until whenever,Just call me up,And I'll put out the fire that be burning inside,We can roll in my ride and make the sirens go off,She make the sirens go off,Working cause I love it, do it for my people,Words are like my ammo, bang, bang, reload,Watch me as I freak flows, ball hard on these beats though,Used to take the bus, now I whip it like I'm Devo,Nowadays we sittin' court side at every Knicks game,Close enough to go and hand Carmelo my mixtape,Models in my phone book, bout to make a mistake,Tell'em spread the love like we living in the sixties,My friends say that my life is like a movie dog,I'm bangin' actress after actress like they groupies dog,She think I'm James Bond, you just an afterthought,These rappers beggin' for any song in my catalogue,Working nine-to-five, but the opposite,Killing it so much, they bout to build me a monument,Tell her ""we can do it in the dorm room of your colleges,And she can rock my muthafucking world or earn an scholarship,Call 9-1-1,Tell the operator she ain't lookin' for a player,We can have some fun,We could be together from now until whenever,Just call me up,And I'll put out the fire that be burning inside,We can roll in my ride and make the sirens go off,She make the sirens go off,Okay, I know it's frowned upon, but I'm [?],[?] in a text, I got your bitch in it, don't mention it,Those who want the D and I appreciate the sentiment,Can't afford to own it, I'm just leasing it and renting it,Cause I am not cuffing shit, I am not no odd boy,I'm more like a hot boy, Gucci leather socks boy,Fin dripping in the kitchen whippin' up the box toy,I get it for the low, I bet you get it for a lot boy,Last night at the Trump towers taking drunk showers,At the airport, they went through my bag and found a bunch of weed that was not ours,If it's not reeking than it's not sour,Smoke in her face, you don't need a vase for these bouquet, then buy flowers,Call 9-1-1,Tell the operator she ain't lookin' for a player,We can have some fun,We could be together from now until whenever,Just call me up,And I'll put out the fire that be burning inside,We can roll in my ride and make the sirens go off,She make the sirens go off,*Phone*,Hey, Hoodie! What's going on man? Todd Ferman calling over from Gigantic Records. Man we just listened to your project, I got a bunch of writers up here, every one in the office is flippin' out. Man, I just wanted to call ya and let you know that we really, really love it, but we just wanna, you know, take it that next level. First thing I would want to do with you is get you a little bit more matured. Throw on a bowtie every now and then, carry a cane around, and wear a grey wig. But other than that, we really love it. Please call me when you get a chance. Once again, Todd Ferman, Gigantic Records. We love your album but we really want to change everything",Sirens,People Keep Talking,2014
Jerry Bock,"(spoken) Oh, dear Lord. You made many many poor,people.,I realize of course it's no shame to be poor, but it's no,great honor either!,So what would have been so terrible, if I had a small,fortune?,---------,If I were a rich man... yuba-duba-duba-duba-duba-duba-,duba-dum.,All day long I biddy-biddy-bum, if I were a wealthy man!,I wouldn't have to work hard, yuba-duba-duba-duba-,duba-duba-duba-dum.,If I were a very very rich, idle didel-didle-didle man.,I'd build a big tall house with rooms by the dozen, right in,the middle of the town.,A fine tin roof with real wooden floors below.,There would be one long staircase just going up and,one even longer coming down.,And one more leading nowhere just for show!,I'd fill my yard with chicks, and turkeys, and geese,,and ducks for the town to see an hear.,Squawking just as noisily as they can!,And each loud ""yep-geeee! ye-gooo! ye-gahh! ye-gaack!"",will land like a trumpet on the ear,,as if to say here lives a wealthy man!,(groan) If I were a rich man... yuba-duba-duba-duba-,duba-duba-duba-dum.,All day long I biddy-biddy-bum, if I were a wealthy man!,Ah, I wouldn't have to work hard, yuba-duba-duba-duba-,duba-duba-duba-dum.,If I were a very very rich, idle didel-didle-didle man.,I'd see my wife, my Golda, looking like a rich man's wife,,with a proper double chin!,Supervising meals to her hearts delight!,I'd see her putting on heirs and strutting like a peacock.,Oh what a happy mood she's in!,Screaming at the servants day and night!,(unintelligible yelling),The most important men in town come to fawn on me!,They will ask me to advise them! Like Solomon the wise!,""If you please Reb Tevye..."" Pardon me Reb Tevye..."",Posing problems that would cross a rabbi's eyes!,Ya va di da da ya da da da ya da da da da!,And it won't make one bit of difference,,if I answer right or wrong.,When you're rich they think you really know.,If I were rich I'd have the time that I lack to sit in the,synagogue and pray.,And maybe have a seat by the eastern wall.,And I'd discuss the holy books with the learn-ed men,seven hours every day.,And that would be the sweetest thing of all!,(sigh) If I were a rich man... yuba-duba-duba-duba-,duba-duba-duba-dum.,All day long I biddy-biddy-bum, if I were a wealthy man!,I wouldn't have to work hard, yuba-duba-duba-duba-,duba-duba-duba-dum.,Lord who made the lion and the lamb!,You decreed I should be what I am!,Would it spoil some vast eternal plan?!,If I were a wealthy man!",If I Were a Rich Man,Fiddler on the Roof (Original Motion Picture Soundtrack),1971
Astronautalis,"Dreamed up the maps,Give me the charcoal and the paper now,We invent paths they cannot see,They're too scared to walk,Between my hands rest 52,Plain old playing cards,And I trapped God somewhere between,Trump and the king of hearts,said, [""We are stardust, we are golden.""],We are all the same,Blood paints the story of our love,Across the bathroom floor, towards the drain,Funny how everything just piles up,Until one day you can't believe how far you came,I'm made of mountains, made of metal,Made of whiskey and waves,Won't believe your own breath,When the bold words finally escape your mouth,Keep your secrets hidden,Until you're certain of just what we've found,Yeah, they bleed just like us,But our calling, is what shapes us now,Won't be held back, won't be tied up,Won't be pinned down,Won't be held back, won't be tied up, won't be pinned down,Won't be held back, won't be tied up, won't be pinned down,Won't be held back, won't be tied up, won't be pinned down,Won't be held back, won't be, not now,Dreamed up the maps,Give me the charcoal and the paper now,We invent paths they cannot see,They're too scared to walk,Between my hands rest 52,Plain old playing cards,And I trapped God somewhere between,Trump and the king of hearts,Trump and the king of hearts,Trump and the king of hearts,Trump and the king of, trump and the king of,Trump and the king of hearts,Trump and the king of hearts,Trump and the king of hearts,Trump and the king of, trump and the king of,Trump and the king of hearts,It came to me, as strange as it seems,From a simple deck of cards, laid ace to kings,My fingernail slipped under King Charlemagne,I flipped the edge and traced the grain and watched it fall like a breaking wave,The ace of spades, last to splash,Trump to suicide kings, they all turned Bicycle backs,Stared at the pattern, a pair of seraphim flashed,And it just fit, elegant, ""aww shit"", that's that,Strange you can waste away pain with one thing,watchmaker breaks sweat, he can't tame a dumb spring,Snd one day it's as plain as the nose, above your smug grin,Like, ""look what the cat dragged in"",Woke from a dream, hands heavy in cold sweat,Jumped from the bed, snatched the charcoal quick,Sketching frantically upon the bedroom brick,Came together and it fit, like this:,""Give me a lever and a place to stand,And I'll move the world."",You think you're clever,But you've never seen how it really works,Really works, really works,Really works, really works,Really works, really works,Really works, oh no,Dreamed up the maps,Give me the charcoal and the paper now,We invent paths they cannot see,They're too scared to walk,Between my hands rest 52,Plain old playing cards,And I trapped God somewhere between,Trump and the king of hearts,Trump and the king of hearts,Trump and the king of hearts,Trump and the king of, trump and the king of,Trump and the king of hearts,Trump and the king of hearts,Trump and the king of hearts,Trump and the king of, trump and the king of,Trump and the king of hearts",Dimitri Mendeleev,This Is Our Science,2011
Kirk Franklin,"The Book of Revelations,Chapter 7: Verses 16 and 17 (yes sir),They shall hunger no more,Neither shall they thirst anymore (preach preacher!),And God shall wipe away (yes sir),Every tear from the eye (yes sir),Get ready,For the revolution,(come on, come on, come on, come on, come on),Whoaaaa-o-o-oooooo-ohhhhh,Do you want a revolution?,Whoop Whoop!,I said, Do you want a Revolution?,Whoop Whoop,Whoaaaaa-o-o-Whoaaaa-ohhh-ohhh,Do you want a revolution?,Whoop Whoop,Come on, do you want a revolution?,Whoop Whoop!,Sick and tired of my brothers, killin' each other,Sick and tired of Daddys leavin' babies with their mothers,So every man that wanna lay around and play around,Listen partner you be man enough to stay around,Sick and tired of the Church, talkin' religion,But yet we talk about each other, make a decision,No more racisim (no), two face-ism (no),No pollution (no),The solution (no),A revolution,Whoaaaa-o-o-oooooo-ohhhhh,Do you want a revolution?,Whoop Whoop!,I said, Do you want a Revolution?,Whoop Whoop,Whoaaaaa-o-o-Whoaaaa-ohhh-ohhh,Do you want a revolution?,Whoop Whoop,Come on, do you want a revolution?,Whoop Whoop!,No crime (no), No dying (no),Politians lying (uh), Everybody's trying,To make at dollar, it makes me wanna holler,The way I do my life, the way they do my life,There's gonna be a brighter day,All your troubles will pass away,A revolution's comin', yes its comin' comin' brother,A revolution's comin', yes it's comin',A revolution's comin' comin',Whoaaaa-o-o-oooooo-ohhhhh,Do you want a revolution?,Whoop Whoop!,I said, Do you want a Revolution?,Whoop Whoop,Whoaaaaa-o-o-Whoaaaa-ohhh-ohhh,Do you want a revolution?,Whoop Whoop,Come on, do you want a revolution?,Whoop Whoop!,What you feelin', what you want, son?,Who you callin' to, son?,You know Jesus is the truth, son?,The second in the Trinity,I know you feelin' him,500 days left, until the new millenium,You hearin' him, the trumpet soundin',Christ, the last, the first, the first, the last, it won't pass,So don't be caught slippin' brother, don't be trippin' brother,'cause when I see him, I'm givin it,Even when we go they say we move too much,We do too much,If you step against us,Then you lose too much,Ain't no stoppin' what we doin' when the spirit is movin',Don't be hatin' what im doin',I'm the vessel he's usin',Everywhere I be they try to judge me,They try to shake me,They try to buzz me,But they can't break me 'cause I'm down with Christ,DarkChild and Nu Nation make me feel alright,Where my east coast saints at? Whoop Whoop!,Where my west coast saints at? Whoop Whoop!,Where my Detroit saints at? Whoop Whoop!,Where my Dallas saints at? Whoop Whoop!,Where my Chi Town saints at? Whoop Whoop!,Where my A-T-L saints at? Whoop Whoop!,Where my Jersey saints at? Whoop Whoop!,Where all my towns saints at?,With their hands up! Up, they got their hands up! (8x),Where my DC saints at? Whoop Whoop!,Where my Nashville saints at? Whoop Whoop!,Where my Newsville saints at? Whoop Whoop!,Where my Philly saints at? Whoop Whoop!,Where my Denver saints at? Whoop Whoop!,Where my Charlotte saints at? Whoop Whoop!,Where my Tampa saints at? Whoop Whoop!,Where my Fort Worth saints at?",Revolution,The Nu Nation Project,1998
Ces Cru,"You heard about it but, couldn't believe it,That they would kill a man, just for breathin',And you were thinking fat chance there's a reason,Until you hear the BLAT BLAT then you see it,You heard about it but, couldn't believe it,That they would kill a man, just for breathin',And you were thinking fat chance there's a reason,Until you hear the BLAT BLAT then you see it,Well okay now they thinking that the gunplay,Was just an isolated thing from the one place,I tell 'em hell naw keep a celly cell on,And follow Philando, Alton and Delrawn,Out in Dallas they were caught up in the onslaught,Had a couple cop ducking from the pop pop,Body drop it was looking like he on top,Then they killed that motherfucker with the bomb bot,Now we cooking up the beef and the grill hot,You ain't heard about the deal with the Chilcot,It's a jagged little pill and the pill caught,In your throat and you wonder when it will stop,Greenpeace on the beach for the whale watch,Innocent still sittin' in a cell block,Got you wishin' on a tail of the Hale-Bopp,Lookin' for the gold ticket in the mailbox,Got a broke down livin' in my locale,Killa city block business you ain't know about,Donald Trump on a ticket we don't know how,Everybody lined up hopin' that their vote count,Maybe for their kids sake, how do you dictate,The real winner when they runnin' in a fixed race,Either which way, whoever you pick payed off by the rich motherfuckers in a big way,Gridlock on the government of this day, and everybody in the senate on a sick day,Lawmakers all caught up in the red tape, I read about it and I'm feeling like a headcase,Now they sayin' that I might've made a mistake, and I probably shoulda put it on a mixtape,Instead I put it on my name is on a list tape,And if they kill me then my baby mama gets paid FUCK Y'ALL,We can pretend we don't see it like our lids, locked,Look the government is all caught up in grid, lock,Read about it and you wonder when will it, stop,Gotta get mine before I got caught up and get, got,Grid, lock,Look the government is all caught up in grid, lock,Read about it and you wonder when will it, stop,Gotta get mine before I get caught up and get, got,Everybody so uneducated on the problem, I don't think I'll live to see the day that people solve it,Killin' unarmed individuals in cold blood, now if that ain't murder what the fuck am I to call it?,They don't even give a shit and everybody saw it, why would they, when they running around lawless,Acting like a ghetto celebrity, when they floss it, worst kept secret everybody who lost it,What's the repercussion for puttin' bodies in coffins,When you got a family member running for office,Moving in the circle of real killers and bosses, who the one to lose and they never take any losses,Anybody be gone yes pardon me but your honor, I don't want to be conned, and I don't want to be conquered,I don't want to be caged, and I don't want to be master,I don't want to be instrumental in a disaster,Murdering them and after, gathering all the data,I can see what the media thinking don't really matter,People do what they gotta do to make a move up the ladder,Sticking whoever long as their pockets are getting fatter,Mama's are getting madder, daddy don't give a damn,If people are in the street dedicating the jam, I'm looking at mother nature hollering no ma'am,Killing the little piggy literally going ham,And the fat cats acting like they know best,Live a carefree life feeling no stress,Will they ever pay for it never know I guess,But they don't give a shit about a protest,I said the fat cats acting like they know best,Live a carefree life feeling no stress,Will they ever pay for it never know I guess,But they don't give a shit about a protest,We can pretend we don't see it like our lids, locked,Look the government is all caught up in grid, lock,Read about it and you wonder when will it, stop,Gotta get mine before I got caught up and get, got,Grid, lock,Look the government is all caught up in grid, lock,Read about it and you wonder when will it, stop,Gotta get mine before I get caught up and get, got,Grid, lock,Gotta get mine before I get caught up and-",Gridlock,Catastrophic Event Specialists,2017
Nas,"Yeah yeah.,On the. On the. On the.,On the real, all you crab niggaz know the deal,Finally up in this nigga,Let's pay homage to Illmatic,Let's put the crown where it's at,10 years,Never been done this real by nobody,To my seed, May I lead you into no greed or evil,In the categories of stories I breed my sequel,You know the money, blues, blunts, broken 22's,Monkey see, Monkey do,Shorty sipping sunny dew,Now it's V.S.O.P. in a Phantom, mad smoky,Murder trees, cruisin gat in the stash so it won't poke me,Up in the Trump Plaza, Suite 3010, don't make no noise cause we dirty,Tell them hoes hurry in,We got the room lit up with perfume, and mad boom,And there's video taping bloomin ass's on the zoomin lens,Rollin on you nondescript niggaz,You're marked for death like Colombians with bad coke that gyp niggaz,Tilt the dutch, twisted up the uwee if you're skilled enough,In Will we trust, salute the dead the nine mili busts,That verse is 10 years old, 9½ years old,Street's Disciple,The Rebirth comin at you this year baby,It's on baby,Yeah,To the hood, may this be the day that we pop them bottles,This is mandatory, what if there's not tomorrow?,You know the murder rate, jealousy, you heard 'em say,He say, she say, I'm bout cheddar, he don't deserve to make,Sippin clear liquor with niggaz, that talk sideways,Listenin close, to every word in case they violate,Up in the projects Apartment 5D,Spark a lea' it's bout da reed, countin everything the block see,We bout to need to take the corners from them cowards,Get it on so y'all can move more coke powder, by the hour,Hold in case we gotta rip niggaz,Loaded - Teflon coated projectiles'll flip niggaz,From ninth grade to lightweight to grams to my mans with guns in hand,Police vans, they missed the summers again,Yeah, power to the people,Death to the phonies,This beast to the mic 1 2 check,Y'all fed-e-rallies on me,And they look like you,Approachin me like ""How you, Homie?"",The F.B.I. see only one problem, they try to slump me,After the young black male cuz he makes a lot of money,So hustlers make crack sales cuz they deprived and hungry,My country hates that I could run free state to state with hunnies,While makin cake with real golded plate rims on Hum-V's,The bush stroker, the kush smoker, nigga,Just when you thought it was over look over your shoulders,I'm 30 now, baby sip drinks and sip 'em slow,Motto no stress, smokin less than I did befo',You see the kid was broke till I spitted vivid expressions of hard livin,Ghetto children, of a lesser god, religion was fast women, expensive cars,Y'all witnessin over 10 years - THE BEST OF NAS",On the Real,Illmatic 10th Anniversary Platinum Edition,2004
French Montana,"Hey Kar,Montana,They forgot who's battlin'?,Twenty bands,Made millions over a decade,I pray we live,For a thousand years,And if I hurt you,Baby drink Cîroc for your tears,'Cause you control my vices,I just wanna fuck you on your nice shit,Driveway lookin' like midlife crisis,You control my vices,We was up grindin' on the night shift,I'll bet, gave my dog suicidal crisis,Priceless, I just wanna fuck you in your white dress,All day, oh I bet she like it,Talk to me nicely, oww,Talk to me nicely, oww,I got you,Closet lookin' like Milan Fashion Week, I got you,Money jumpin' like Lebron, Dominique, I got you,Better do or die,A hundred with the guy,Pull up with the 'gar,Rake with the stars,Talkin' me so reckless,Diamonds on my necklace,Chest playin' checkers,The Avion breakfast,Dimes clean, dirty wind up,See the future like I'm Rocco,And I fall for like champo,Fuckin' all these foreign chicks,Put some hoes in foreign,You thought she was yours,She smell like Michael Cors,Shoes fuckin' up my floors,Who that nigga? I'm the definition,Wearin' penny loafers, we ain't penny pinchin',Got the baddest bitches baggin' in the kitchen,Got that Bobby Brown, we that new edition,These rappers ain't Nas,Just look at their commas,I skid on the diamonds,I smoke with the farmers,Buy my shoes small, goin' toe to toe,I burn my bridges I'ma call the boat,Willie be new with the auto boat,Ballin' like I'm Earl Manigault,They countin' to the south,The bag is a mountain,I fucked my accountant,That pussy's a fountain,A pledge of allegiance,You better believe it,I boarded a flight,Trump fucked up a Visa,Bitch I'm no regular, bitch I'm no second,Know the one, I'm the one that's ahead of ya,If you talkin' the hoes bitch I'm affiliate,Ciroc boy shoot through a million,'Cause you control my vices,I just wanna fuck you on your nice shit,Driveway lookin' like midlife crisis,You control my vices,We was up grindin' on the night shift,I'll bet, gave my dog suicidal crisis,Priceless, I just wanna fuck you in your white dress,All day, Oh I bet she like it,Talk to me nicely, oww,Talk to me nicely, oww,'Cause you control my vices,I just wanna fuck you on your nice shit,Driveway lookin' like midlife crisis,You control my vices,We was up grindin' on the night shift,I'll bet, gave my dog suicidal crisis,Priceless, I just want to fuck you in your white dress,All day, Oh I bet she like it,Talk to me nicely, oww,Talk to me nicely, oww",White Dress,Jungle Rules,2017
