artist,lyrics,song
Nas,"Yeah yeah.,On the. On the. On the.,On the real, all you crab niggaz know the deal,Finally up in this nigga,Let's pay homage to Illmatic,Let's put the crown where it's at,10 years,Never been done this real by nobody,To my seed, May I lead you into no greed or evil,In the categories of stories I breed my sequel,You know the money, blues, blunts, broken 22's,Monkey see, Monkey do,Shorty sipping sunny dew,Now it's V.S.O.P. in a Phantom, mad smoky,Murder trees, cruisin gat in the stash so it won't poke me,Up in the Trump Plaza, Suite 3010, don't make no noise cause we dirty,Tell them hoes hurry in,We got the room lit up with perfume, and mad boom,And there's video taping bloomin ass's on the zoomin lens,Rollin on you nondescript niggaz,You're marked for death like Colombians with bad coke that gyp niggaz,Tilt the dutch, twisted up the uwee if you're skilled enough,In Will we trust, salute the dead the nine mili busts,That verse is 10 years old, 9½ years old,Street's Disciple,The Rebirth comin at you this year baby,It's on baby,Yeah,To the hood, may this be the day that we pop them bottles,This is mandatory, what if there's not tomorrow?,You know the murder rate, jealousy, you heard 'em say,He say, she say, I'm bout cheddar, he don't deserve to make,Sippin clear liquor with niggaz, that talk sideways,Listenin close, to every word in case they violate,Up in the projects Apartment 5D,Spark a lea' it's bout da reed, countin everything the block see,We bout to need to take the corners from them cowards,Get it on so y'all can move more coke powder, by the hour,Hold in case we gotta rip niggaz,Loaded - Teflon coated projectiles'll flip niggaz,From ninth grade to lightweight to grams to my mans with guns in hand,Police vans, they missed the summers again,Yeah, power to the people,Death to the phonies,This beast to the mic 1 2 check,Y'all fed-e-rallies on me,And they look like you,Approachin me like ""How you, Homie?"",The F.B.I. see only one problem, they try to slump me,After the young black male cuz he makes a lot of money,So hustlers make crack sales cuz they deprived and hungry,My country hates that I could run free state to state with hunnies,While makin cake with real golded plate rims on Hum-V's,The bush stroker, the kush smoker, nigga,Just when you thought it was over look over your shoulders,I'm 30 now, baby sip drinks and sip 'em slow,Motto no stress, smokin less than I did befo',You see the kid was broke till I spitted vivid expressions of hard livin,Ghetto children, of a lesser god, religion was fast women, expensive cars,Y'all witnessin over 10 years - THE BEST OF NAS",On the Real
French Montana,"Hey Kar,Montana,They forgot who's battlin'?,Twenty bands,Made millions over a decade,I pray we live,For a thousand years,And if I hurt you,Baby drink Cîroc for your tears,'Cause you control my vices,I just wanna fuck you on your nice shit,Driveway lookin' like midlife crisis,You control my vices,We was up grindin' on the night shift,I'll bet, gave my dog suicidal crisis,Priceless, I just wanna fuck you in your white dress,All day, oh I bet she like it,Talk to me nicely, oww,Talk to me nicely, oww,I got you,Closet lookin' like Milan Fashion Week, I got you,Money jumpin' like Lebron, Dominique, I got you,Better do or die,A hundred with the guy,Pull up with the 'gar,Rake with the stars,Talkin' me so reckless,Diamonds on my necklace,Chest playin' checkers,The Avion breakfast,Dimes clean, dirty wind up,See the future like I'm Rocco,And I fall for like champo,Fuckin' all these foreign chicks,Put some hoes in foreign,You thought she was yours,She smell like Michael Cors,Shoes fuckin' up my floors,Who that nigga? I'm the definition,Wearin' penny loafers, we ain't penny pinchin',Got the baddest bitches baggin' in the kitchen,Got that Bobby Brown, we that new edition,These rappers ain't Nas,Just look at their commas,I skid on the diamonds,I smoke with the farmers,Buy my shoes small, goin' toe to toe,I burn my bridges I'ma call the boat,Willie be new with the auto boat,Ballin' like I'm Earl Manigault,They countin' to the south,The bag is a mountain,I fucked my accountant,That pussy's a fountain,A pledge of allegiance,You better believe it,I boarded a flight,Trump fucked up a Visa,Bitch I'm no regular, bitch I'm no second,Know the one, I'm the one that's ahead of ya,If you talkin' the hoes bitch I'm affiliate,Ciroc boy shoot through a million,'Cause you control my vices,I just wanna fuck you on your nice shit,Driveway lookin' like midlife crisis,You control my vices,We was up grindin' on the night shift,I'll bet, gave my dog suicidal crisis,Priceless, I just wanna fuck you in your white dress,All day, Oh I bet she like it,Talk to me nicely, oww,Talk to me nicely, oww,'Cause you control my vices,I just wanna fuck you on your nice shit,Driveway lookin' like midlife crisis,You control my vices,We was up grindin' on the night shift,I'll bet, gave my dog suicidal crisis,Priceless, I just want to fuck you in your white dress,All day, Oh I bet she like it,Talk to me nicely, oww,Talk to me nicely, oww",White Dress
Yella Beezy,"[Intro],Know what I did,Know what I did,Know what I did,Know what I did,Know what I did, Yeah (Ayy),[Chorus],Know what I did (Ayy),But I ain't buildin' no bridge (Ayy),My hooligans flooded my wrist, yeah,('Tryin' to tell you what I did, yeah),When they go front me some twens,As I buy my mama a new crib (Ayy),Then buy my lil' bitch some new heels, yeah,('Tryin' to tell you what I did, yeah) (Ayy),Know what I did (Ayy),Know what I did (Ayy),Know what I did (Ayy),(Tryin' to tell you what I did, yeah) (Ayy),Know what I did (Know what I did),Know what I did (Know what I did),Know what I did,(Tryin' to tell you what I did, yeah) (Ayy),[Verse 1: Yella Beezy],Know what I did (Yeah),I had it put on for the clique (Clique),I'ma rep my shit on the real (Yeah),(Lemme tell you what I did, yeah) (Ayy),Come with me, follow the drip (Drip),You don't want no problem for real (Real),Lay back to pop me a seal,(Lemme tell you what I did),All I know how to do is get bent,Top down on a man, that's not my steelo (My steelo),Stubble tip piece up in my pants,I'ma get to this bag, nigga keep it on the D-low (On the D-low),I swear, I'm up in my bag,I'm up in my bag, your ass baby, he know,That sack, I'll get to that sack,I'll get to that sack, I ain't talkin' Dan Marino (Dan Marino) (Ayy),You follow my drill (Drill),Yes, that made me walk with a deal (Deal),I don't give a fuck how you feel,(Lemme tell you what I did, yeah),Stackin' up bills (Bills),Double cup crackin' the seal (Seal),Lil' daddy, I'm packin' for real,(Lemme tell you what I did, yeah),[Chorus],Know what I did (Ayy),But I ain't buildin' no bridge (Ayy),My hooligans flooded my wrist, yeah,('Tryin' to tell you what I did, yeah),When they go front me some twens,As I buy my mama a new crib (Ayy),Then buy my lil' bitch some new heels, yeah,('Tryin' to tell you what I did, yeah) (Ayy),Know what I did (Ayy),Know what I did (Ayy),Know what I did (Ayy),(Tryin' to tell you what I did, yeah) (Ayy),Know what I did (Know what I did),Know what I did (Know what I did),Know what I did,(Tryin' to tell you what I did, yeah) (Ayy),[Verse 2: Kevin Gates],So y'all niggas know I'm fuckin' with you,I- I- I took a bitch out of town, put some dick on her body,She takes it, she thinkin' about me,She gave me a shower and baby you know what I'm 'bout, huh?,Start her young, I'm tryin' to run them dollars up,Ain't acknowledge us, steady pilin' up,Got 'em frownin' up, it's really all or none,I'm in my bag, jump out the whip and I got on they ass,Trump Towers, I'm in here rockin' some ice (Bling),While I'm talkin' my mouth gotta glisten when I'm in the light,Grindin' hard, come up from under that life,Grindin' hard, baby I wanna shine,Why you still ringin' my cellular,Shit ain't my loss, no regular,Brushed aluminum texture whip up in the Vette an',Hop out in your section and then go to flex on 'em,I'm talkin' 'bout extra, forgive me, I'm messin',These niggas be hatin', I gotta address it,They women look sexy, they love how I'm dressed an',And my diamonds reflectin' without no protection,I'm drinkin' consecutive, I'm an executive,Rolly a president,[Chorus],Know what I did (Ayy),But I ain't buildin' no bridge (Ayy),My hooligans flooded my wrist, yeah,('Tryin' to tell you what I did, yeah),When they go front me some twens,As I buy my mama a new crib (Ayy),Then buy my lil' bitch some new heels, yeah,('Tryin' to tell you what I did, yeah) (Ayy),Know what I did (Ayy),Know what I did (Ayy),Know what I did (Ayy),(Tryin' to tell you what I did, yeah) (Ayy),Know what I did (Know what I did),Know what I did (Know what I did),Know what I did,(Tryin' to tell you what I did, yeah) (Ayy),[Verse 3: Yella Beezy],Follow me, ain't no choice (Ayy),Just pulled off in a Porsche (Ayy),Bitch give head like a dork (Ayy),That nigga done with, hit him with a fork (Ayy),Bitch I'm too high like a torch (Ayy),I was young when I hopped off the porch (Ayy),Bitch I'm fly than a cork,Got about twenty bands bound up in my shorts (Ayy),Hey, I had to get big (Big),Kickin' flame in this field (Field),No we don't talk to the pigs (Yeah),(Lemme tell you what I did, yeah),Pull up with steel (Steel),We gon' foll' there with my heel (Heel),Your bitch had gnawed on my dick,(Lemme tell you what I did, yeah),Man down (Man down), man down (Man down),When I get on this sherm, oh you won't pounce,Grab a ounce (Grab a ounce), break it down (Break it down),We'll cover ground and get 'em out,Wanna fuck with me? Oh really now? (Oh really now?),Is you a boss bitch? Are you really down? (Really down?),Lately I been comin' 'round with a bigger mouth (Bigger mouth),You don't need no shovel how to dig me now,[Chorus],Know what I did (Ayy),But I ain't buildin' no bridge (Ayy),My hooligans flooded my wrist, yeah,('Tryin' to tell you what I did, yeah),When they go front me some twens,As I buy my mama a new crib (Ayy),Then buy my lil' bitch some new heels, yeah,('Tryin' to tell you what I did, yeah) (Ayy),Know what I did (Ayy),Know what I did (Ayy),Know what I did (Ayy),(Tryin' to tell you what I did, yeah) (Ayy),Know what I did (Know what I did),Know what I did (Know what I did),Know what I did,(Tryin' to tell you what I did)",What I Did
Rick Ross,"[Intro],(DP on the beat),Man: Listen Rozay I want some dope, I heard y'all sell dope,Ross: So what type of dope you want bitch?,Maybach Music,[Hook],Bitches screaming for me like Beyonce,Work, jumping out the gym like it's Lebron James,This other type of money even make me nervous,I'm standing out the roof, jersey Kyrie Irving,[Verse 1],Steven Curry, Under Armour on my gang,They hit me close range, bitch ain't hit a thing,Cut the dog food up with the (?),The junkies they hit 'em like a canon ball,Don't nobody do it like Miami does,Bought 20 kilos, coulda bought Miami subs,Let her snort a line so she can get a buzz,She says she want a dime, I told her get a dub,My city one big hospice, I could pull the plug,Them bitches know it's us before we pulling up,Keep it gangster, 20 bottles of Bel-Air,And got all of the dope boy's hands in the air,[Hook],Bitches screaming for me like Beyonce,Work, jumping out the gym like it's Lebron James,This other type of money even make me nervous,I'm standing out the roof, jersey Kyrie Irving,Work, work, work, work, work,[Verse 2],I wanna build a mansion in Port-Au-Prince,Speaking creole with all of my Haitian friends,Kilos for the low and Bahamas the (?),Everything is diamond, can't cop in a drought,I'm breezing through the beats, shout my nigga Pauchillo,Dave Grutman in the building, toast like the Goodfellas,20 million, baby that's my water bill,Got Puffy on the phone talking a quarter bill,Piece of honey now I'm talking Taco Bell,Youngest nigga in the US with 100 mil,Ain't too many hoes I haven't done for real,Money in my pocket, boy I'm number one for real,Benz running and I'm sitting on the trunk,Rolling up a blunt, getting my dick sucked,[Hook],Bitches screaming for me like Beyonce,Work, jumping out the gym like it's Lebron James,This other type of money even make me nervous,I'm standing out the roof, jersey Kyrie Irving,Work, work, work, work, work,[Verse 3],I see you fucking up like you a Donald Trump,I cast a vote and get a pussy nigga slumped,I gave my dog a stack, that shit was barely lunch,He got it done and called me back like batter's up,He hit a bystander which didn't matter much,And then I ate that pussy like it's Captain Crunch,We cruising La Brea like we was Mexican,When it come to your hustle, exhibit excellence,Step to my clique and you'll meet the exorcist,If you're ever in debt then you'll be the deficit,In the oval office and I'm iced out,Ankle monitor beeping in the white house,[Hook],Bitches screaming for me like Beyonce,Work, jumping out the gym like it's Lebron James,This other type of money even make me nervous,I'm standing out the roof, jersey Kyrie Irving,Work, work, work, work, work",Kyrie
Il Pagante,"Hey, sai che quando corri sul tapis roulant,Fisso il tuo seno rifatto? Un po' un po' too much,Sono sporco, sputo come Stash,Dopo chiedo scusa ai fan,Se la mia reazione è stata un po' un po' too much,In famiglia, novità, la reaction di papà,Cara Sedici Anni Incinta forse è un po' un po' too much,Super fashion, il tuo blog,Fila all'Apple, nuovo iPhone,Ma se non funziona il touch la reazione è un po' too much,Ma perché parli sempre di Trump?,Ti prego torna a fare la web star,Sotto le foto citazioni di Kant,Non so ma penso che sia un po' too much,Un po' un po' un po' un po' too much,Un po' too much,Un po' un po' un po' un po' too much,Quando l'ho visto dal vivo sono rimasta sotto shock,Pensavo fosse carino, era bravo con Photoshop,Finto radical chic, che ascolta Indie Rock,E nel duemila e diciassette veste ancora Burlon,Ti bollano, penso sia vero, un dipinto olio su tela,Guajira Guantanamera però quanto se la mena,Parla della sua carriera, Uomini e Donne e telenovela,E quando apre la bocca Welcome to Favelas,Ma perché parli sempre di Trump?,Ti prego, torna a fare la web star,Sotto le foto citazioni di Kant,Non so ma penso che sia un po' too much,Un po' un po' un po' un po' too much,Un po' too much,Un po' un po' un po' un po' too much,Un po' too much,A San Siro c'è il concerto dei Coldplay,Ti ci porterei, sai quanto vorrei,Ma ho controllato adesso su TicketOne,Quei prezzi per me sono un po' too much,E andremo a Le Rotonde quando suona Gigi Dag,E giovedì a ballare alla serata del The Club,Con il mal di schiena a forza di fare la dab,Non so ma penso che sia un po' too much,Un po' un po' un po' un po' too much,Un po' too much,Un po' un po' un po' un po' too much,E andremo a Le Rotonde quando suona Gigi Dag,E giovedì a ballare alla serata del The Club,Con il mal di schiena a forza di fare la dab,Non so ma penso che sia un po' too much",TOO MUCH
French Montana,"Baby, I'm 'bout your love (can't stop, no),I'm trying to let these demons out (can't stop, no),Baby, you know me too well (oh no),Once we get it going we don't stop,So stop now, can't stop, no,And, baby, I'm blacking out,I think we got to order more (can't stop, no),And, girl, I don't know what we did (what we did, what we did),That ever dance right on the floor,On the floor, on the floor,Mmm, she know what to do with it,Gotta make a move strong, can't fool with it,She moving like a fool with it,All that ass, let me show you what to do with it,I ain't slipping that's the rules with it,Baby, is you fooling me or are you fooling 'em,I'ma catch that off the rim,And I hope you meant cool when I'm calling you,Don't be acting like Iggy all fancy,Shoutout to Selena for the mansion,Shawty on the Bieber, she dancing,Catch me with JLo in the Hamptons,Shawty got a groove, let's make this a vibe,Back at the crib playing bogus or not,Me and my niggas we came up from the block,Now we on top, got the crew with me,She working and I know all the things that she do on the low,She flirts and yeah she bad,You know she could spend and make it back,(Montana),Baby, I'm 'bout your love (can't stop),I'm trying to let these demons out (can't stop, no),But, baby, you know me too well,Once we get it going we don't stop,So stop now, can't stop no,Mmm, she know what to do with it,Gotta make a move strong, can't fool with it,She moving like a fool with it,All that ass, let me show you what to do with it,I ain't slipping that's the rules with it,Baby, is you fooling me or are you fooling 'em,I'ma catch that off the rim,And I hope you meant cool when I'm calling you,She working and I know all the things that she do on the low,She flirts and yeah she bad,You know she could spend and make it back,(Montana),I feel in love with her overseas,Scared trump, might fuck up the visa,We in that drop, head bumping shawty,Love you like Kanye love Kanye,Love you like Whitney loved Bobby,Canary rock can't fit through your front pocket,She got expensive taste,Met her last night, moved her in the crib today,Baby, I'm 'bout your love,(Montana),I'm trying to let these demons out,(Basie, you know what it is),But, baby, you know me too well,Once we get it going we don't stop (Don't stop),So stop it (don't stop it), can't stop it,Haaan",She Workin
K. Michelle,"You know what will happen when we connect right?,(Rock boy beats),I let you know you worthy,Hitmaker,It's your birthday, baby whatcha wanna do?,Got some bitches, got some pretty bitches coming through,Know I said I never do it, but I guess I lie,Roll a L, Roll a L fuck it lets get high,It's your birthday, baby whatcha wanna do?,Got some bitches, got some pretty bitches coming through,Know I said I never do it but I guess I lie,Roll a L, pour that drank fuck it lets get high,Ooh, put phone down while you're here with me,Ooh, we go 12 way like it's 93,Ooh, body calling 'bout to bump and grind,Mmm, breakfast in bed ain't no wine and dine,Ooh, and you know I'm 'bout my privacy,Ooh, don't tell nobody this shit 'bout me,This shit I be into, only for you,Shit I be into, only for you,(Yeah) It's your birthday, baby whatcha wanna do? (Yo),Got some bitches, got some pretty bitches coming through,Know I said I never do it, but I guess I lie,Roll a L, Roll a L fuck it lets get high,It's your birthday, baby whatcha wanna do?,Got some bitches, got some pretty bitches coming through,Know I said I never do it but I guess I lie,Roll a L, pour that drank fuck it lets get high,How it feel to be a winner,Never a beginner,Tell 'em I'm a pretty sinner (yeah),Birthday suit is what you have for dinner,Don't fight me I'm a Pisces,Birthday cake up on his white T,Turn downs unlikely,He checkin' for me like I'm Nike,No spaghetti throw confetti (yeah),Tell the silly my Giuseppe's (scurr),Hey big head you ready?,I need that sloppy toppy every,Really want me run it,Imma keep a hunnid,They make me sick to my stomach,They gotta pay me Muhammad,Just like my name is Muhammad,I'm 'bout to drop 'em like dono,Big back in El Reno,You betta get at tasana,I said these bitches is bums,They living off of they momma,But to tell you the truth,I ain't got nothing to prove,Bitches stealing sauce,I'm in first place,Come on eat this cake,It's your birthday,It's your birthday, baby whatcha wanna do? (Yo),Got some bitches, got some pretty bitches coming through,Know I said I never do it, but I guess I lie,Roll a L, Roll a L fuck it lets get high,It's your birthday, baby whatcha wanna do?,Got some bitches, got some pretty bitches coming through,Know I said I never do it but I guess I lie,Roll a L, pour that drank fuck it lets get high,Lets get high baby, oh,Lets get high baby, oh,Lets get high baby, ooh oh, oh oh oh oh,Is you a virgo, saggitarius, aqarius,'Cause I need some answers,Gemini or a cancer babe?,Tell me baby baby, oh woah, woah,Hey, oh woah, babe,Happy Birthday",Birthday
Kano,"Shubs, shubs, shubs, shubs,Shubs, skank, skank, skank,Skanker, new banger, new banger,New banger, new banger,New, new,New banger, new banger,New banger, new banger,New banger, new banger,Kano's got a new banger,And no, not China and not Taiwan,Kano was made in the bloodclart manor,Where we raved on the top of the Princess Alice,Whine gyal to jungle but not no ballad,If a some of man's jeans looking MC Hammered,Nah its not that he's just holding a hammer,Well, police wanna pull me over in my car,Check my licence and plates,They ask me how much it cost,Get the fuck out my face,When man queue up for Jordans from 7,Shottas stack P till ashmans get em,All-white parties, but ain't no tennis,My yardie dances, not in till ten-ish, way up,New banger, new banger,Kano's got a new banger,New banger, new banger,Kano's got a new banger,New banger, new banger,Kano's got a new banger,And no, not China and not Taiwan,Kano was made in the bloodclart manor,New banger, new banger,New banger, new banger,New banger, new banger,Kano's got a new banger,And no, not China and not Taiwan,Kano was made in the bloodclart manor,So ask around town, let's ask around town,They know about me, I'm mostly about,Might see the AMG in C-town,Might see Smithy, Woz, the old gang,You know the ends I'm talking about,Where man drop out of school but somehow,All of your pals are pharmacists now,Shotting that white girl from No Doubt,Flow of the year two times in a row,Done the debating, I am the G.O.A.T,Wheel and come again, get it right for the quotes,Done did the bacon, I am the G.O.A.T,And that's that East London MC,I'm born in streets slumbered with these,So rich these one-off 16s,Duppy these beats, trumpets indeed,The ruler's back,The ruler's back,The ruler's back,The ruler's back with a,+ New banger, new banger,Kano's got a new banger,New banger, new banger,Kano's got a new banger,New banger, new banger,Kano's got a new banger,And no, not China and not Taiwan,Kano was made in the bloodclart manor,New banger, new banger,New banger, new banger,New banger, new banger,Kano's got a new banger,And no, not China and not Taiwan,Kano was made in the bloodclart manorNew banger, new banger,Kano's got a new banger,And no, not China and not Taiwan,Kano was made in the bloodclart manor,Where we raved on the top of the Princess Alice,Whine gyal to jungle but not no ballad,If a some of man's jeans looking MC Hammered,Nah its not that he's just holding a hammerNew banger, new banger,Kano's got a new banger,New banger, new banger,Kano's got a new banger,New banger, new banger,Kano's got a new banger,And no, not China and not Taiwan,Kano was made in the bloodclart manor,New banger, new banger,New banger, new banger,New banger, new banger,Kano's got a new banger,And no, not China and not Taiwan,Kano was made in the bloodclart manorNew banger, new banger,Kano's got a new banger,And no, not China and not Taiwan,Kano was made in the bloodclart manor,Where we raved on the top of the Princess Alice,Whine gyal to jungle but not no ballad,If a some of man's jeans looking MC Hammered,Nah its not that he's just holding a hammer,Listen, look, so mum went school with all of the gangsters,They know Mel but they call her Cassius,And them man still run shit from mansions,And wear robes and Adidas campus,Yeah, I grew up with the towners,Stolen Ralph shit was standard,Old TV from the catalogue scammers,They robbed banks but they still had manners,They showed us what bangers and mash is,We showed them what dumpling and yam is,Build sound-systems in houses,Before garage one-finger skankers,And you wonder why we're so anti,Don't make Billboard, we make bangers,It's not grime if there ain't no ad-libs,BRAP! That's my ad-lib,First blacks in the canning town flats,Walking to school was an everyday scrap,They called our mothers coons, now Mummy's in my coupe riding shotgun,Of course that fucker's all black,No tints in the front, let the manor see that,Wind down windows like I'm me that,Might go catch, grab a likkle sea bass,That MIDI keyboard made a likkle P, man, thanks,I grew up on jungle,Karl Tuff Enuff and D Double,When I was watching Zippy and Bungle,Was getting Supercat from my uncles,House partying to dancehall riddims,It's my DNA, I can't part with it,Before I knew the whole alphabet,I knew Zungguzungguguzungguzeng,90 now, long,Been doing this from '90 now, long,Eskimo Dance, used to roll out 19 man strong,And drop a new banger, new banger,So if this ain't that shit to gas up Britain,Forgive me, for I am a sinner,Middle finger to mass-appealers,Casket fillers, the fashion killers,And from the classroom of free school dinners,Were space invaders and wagon wheelers,Rudeboys roll in 320 bimmers,Shottas stack P till ABs get em,All respect due to garage niggas,All respect due to Shab and Skibba,And all hail the king Jackson,But our Quincy was Wiley, our Michael was Dylan,Train to Roman, Rhythm Division,Our mums had afros and combs to pick em,I'm Melrose's son, I should've been a Richard's",New Banger
E-40,"I'm really not all that sure,bout when things is finna mature,So let me find me a nigga with a grip,and hit his ass quick with one of them whoops,(What's the definition of a lick?),Taking a niggaz shit,(Hey put that on sumthin),I put that on The Click, The Click,Back to fuckin work one of the homies jus got dusted,Time to do some dirt, uhh, I never trusted,them bustas shot him in the shirt, dead on arrival,Now the town is funky, it's called survival,What y'all wanna do? They got us scuffled,(Well if uhh, we can just uhh) if ""if"" was a fifth we'll all be drunk,I'm heated, them niggaz cheated, played me false,We had a meetin, shit 'posed to been squashed,I noticed one killa on the double dribble and set him up y'all,She likes the Monie in the Middle, play tetherball,Thick ass bitch, high yellow city-slicker,Scarecrow creepin Southern bitches, aka Posie Pussyfictious,Nigga been holdin guts, but shit on hisself and a funky bill,Pullin out bills, frontin on material shit,that's when I get to killin shit (killin shit),And settin 'im up and havin 'im catchin a couple of slugs,Sl-uh sl-uh slugs, trynta fuck with savage thug,Pistol pop in they ass, see niggaz be gettin this twisted,It's that bitch that killed ya,Took all your money peeled ya,Seven niggaz bust in the room with AK's,while a nigga be puttin on his jimmy,All of a sudden they shoot up your Vuitton,before you can hit the broccoli,See money-a-made that nigga, that nigga didn't make that money,Left them niggaz jacked up, and the bitch she macked him,He's a busta, punk ass nigga, y'all know the streets,That's why that nigga naked layin dead in between some bloody sheets,It's just a part of the game he didn't feel,Bitches will kill, fuck a nigga, out his last d-uh dollar bill,You don't know that hoe main that bitch can't be trusted,Dusted and di-motherfuckin-sgusted,Some cold hearted shit,Back to fuckin work, one of the homies jus got dusted,Whacha'll wanna do, whacha'll wanna do,Cold hearted bitches,Back to fuckin work, one of the homies jus got dusted,Whacha'll wanna do, I never trusted them bustas,Some cold hearted shit,Back to fuckin work, one of the homies jus got dusted,I never trusted them bustas,And it's them cold hearted nigga,Back to fuckin work, one of the homies jus got dusted,Dusted and disgusted,Let's let of some two or threes on the other side of t-uh-town,Draw the attention on the other s-uh-side of town (other side of town),And wait for the po-po shift to change, ghetto shootin range,Revenge on the r-uh-rebound, war games,Droughts, ouch, lost clientele but I will prevail,by sellin the broccoli dank instead of the crack cocaine,try not to steal narcotics,When these punk MC's and bitches be the reason why,the smoke be comin up out the chop, with my nigga 'Pac,Dear God, can you forgive me? My future's lookin sick,I'm in my rag hittin switches I'm suspicious of these bitches,I keep on, calllin, but ain't nobody pickin up,I think she's stallin, this evil bitch is tryin ta set me up,Came all alone if it's on then it's on,Where's my motherfuckin chrome, only jealous niggaz roam,It's a war zone (war zone) but I'm a man so with gun in hand,I'm on my way to see this hoe you know the fuckin plan,Can't understand, but the things ain't the same,You could die over these bitches if you slippin in the game,Niggaz gang bang, but bitches gang bang too,Give up that good thang, and put that pistol to your brain,If you a smart figure, don't have no love in your heart nigga,Any complications pull the trigger, dusted and disgusted,Bitches can't be trusted, you know the rules,They underhanded, she planned it, you fuckin fool,(These hoes out here tryin to hold a nigga's heart,So a nigga get his money fucked with,Almost in-laws),Hey be proud of it when you turn these bitches upside down,What's gonna happen,(Uhh, three and a half dollars or probably fo' if,a bitch ridin),(Yeah main, them hoes talented,They be fuckin with mo' MC's at Jack the Rapper),(Aight fuck it, what you say Mall?,Ay, fuck them sheisty ass bootches, nigga),The California lifestyle that I live,Where the bitches is crooked and niggaz jus don't give,a flyin fuck, so I stay stuck, smokin on the tay-low,Bay Area playa, tryin ta have shit major,And a bitch won't save ya,so I ain't playin Captain Save-a-Hoe,I mob up in ya like a pro and then I'm gone,I'm like Sylvester Stallone, everyday is like a Cliffhanger,Action packed, I let the mini-mac smack that ass,Them hoes jacked that ass,Nigga woulda got smokin on that hash,Can't have my cash, better go and take your nigga stash,Cuz he's a busta, niggaz with clusters,Slippin in shit, betta jack that nigga 'fore I jack his ass bitch,Never was no love for the mark-ass, the lo pink (the lo pink),You love them Bootsy bitches, can't let them pussy bitches,gank that ass, betta hide your cash and check her fast,Pump your brakes nigga, slow your roll don't go too fast,Cause bulletproof ain't doin no good no mo' no mo' no mo' no mo',now, niggaz comin up dead with they brains blew out on the fuckin floor,damn, hollow points to flesh tears through the teflon vest,Now r-uh-rest,Pull a plug on a flatline over those, one nigga less,One nigga less, from coast to coast, to the East to the West,Crushin the flesh, dem bitches played a game of death,Look over your shoulder watch your back don't even trust it,I'm tryin to told ya end up dusted",Dusted 'n' Disgusted
Beastie Boys,"""One two three four"",""One two three four"",""One two three four"",Oh Wine Cooler,Johnny Ryall is the bum on my stoop,I gave him fifty cents to buy some soup,He knows the time with the fresh Gucci watch,He's even more over than the mayor Ed Koch,Washing windows on the Bowery at a quarter to four,'Cause he ain't gonna' work on Maggie's farm no more,Livin' on borrowed time and borrowed money,Sleepin' on the street there ain't a damn thing funny,With the hand me down food and the hand me down clothes,A rockabilly past of which nobody knows,Makes his home all over the place,He goes to sleep by falling down on his face,Sometimes known as the leader of the homeless,Sometimes drunk and he's always phoneless,Sleepin' on the street in a cardboard box,Better off drinkin' than smokin' the rocks,Well.,Johnny Ryall Johnny Ryall,Kickin' uptown Kickin' downtown Kickin' crosstown,Johnny Ryall Johnny Ryall,He drinks where he lies He's covered with flies,He's got the hand me down Pumas and the tie dyes,Well You go upstate and get your head together,Thunderbird is the word and you're light as a feather,Detox at the flop house no booze allowed,Remember the good old days with the rockabilly crowd,Memphis is where he's from um in Tennessee,He lives in the street but he's no bum no,He's a rockabilly star from the days of old,He used to have teeth all filled with gold,He got a platinum voice but only gold records,On the bass was boots and on the drums was checkers,Luis Vuitton with the Gucci guitar Johnny Ryall,""Who do you think you are"",Johnny Ryall Johnny Ryall,Takin' the night train Takin' the O.E.,Johnny Ryall Johnny Ryall,""One two three four"",""One two three four"",""One two three four"",""One two three."",Donald Trump and Donald Tramp living in the Men's Shelter,Wonder Bread bag shoes and singing Helter Skelter,He asks for a dollar you know what it's for,Man bottle after bottle he always needs more,He's no less important than you working class stiffs,He drinks a lot of liquor but he don't drink piss,He paid his dues playing the blues,He claims that he wrote the Blue Suede Shoes,Elvis shaved his head when he went into the army,""That's right y'all his name is"",Johnny - Kick it,Johnny Ryall Johnny Ryall,Johnny Ryall Johnny Rya.,Check the cooled wax",Johnny Ryall
